번호,제목,사건번호,선고일자,참조조문,조문번호,판시사항
5,손해배상(기)·손해배상(기)·손해배상(기),2018다222303,2019. 9. 26.,민법,"제393조, 제750조, 제751조, 제763조","[1] 구 전자금융감독규정시행세칙 제9조 제1항 제7호에 규정한 ‘보조기억매체’에 금융기관의 업무상 필요에 따라 외부로부터 반입된 것이 포함되는지 여부(적극) 및 하드디스크 드라이브를 비롯한 새로운 저장매체가 ‘보조기억매체’에 해당하는지 여부(적극)
[2] 정보통신서비스 제공자가 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제28조 제1항에 따라 부담하는 개인정보 보호조치의무의 대상(=해당 정보통신서비스를 이용하는 이용자의 개인정보) 및 여기서 말하는 ‘정보통신서비스’의 의미 / 정보통신망을 활용하여 정보를 제공받거나 정보 제공의 매개 서비스를 이용하는 모든 이용자가 같은 법에서 예정한 정보통신서비스 이용자에 해당하는지 여부(소극)
[3] 신용카드 등 발행·관리 등의 사업을 영위하는 甲 주식회사가 乙 주식회사에 카드사고분석시스템의 업데이트에 관한 용역을 의뢰하고, 업무상 필요를 이유로 乙 회사의 직원들에게 신용카드 회원의 개인정보를 제공하였는데, 乙 회사의 직원인 丙이 甲 회사의 사무실에서 업무용 하드디스크에 丁 등을 비롯한 신용카드 회원의 개인정보를 저장하여 사용한 뒤 업무용 하드디스크를 포맷하지 않고 몰래 숨겨서 가지고 나와 자신의 컴퓨터에 위 개인정보를 저장한 후 대출중개 영업 등에 개인정보를 활용할 의도를 가지고 있는 戊에게 전달하였고, 이에 丁 등이 甲 회사를 상대로 개인정보 유출 등으로 인한 손해의 배상을 구한 사안에서, 甲 회사가 乙 회사의 직원들이 작업을 위하여 반입한 하드디스크의 수량을 파악하거나 포맷 작업을 수행 또는 감독하지 않은 것은 구 전자금융감독규정시행세칙 제9조 제1항 제7호의 위반에 해당하고, 甲 회사와 丁 등 사이에 정보통신서비스 제공자와 이용자의 관계가 성립되었다고 볼 수 없으므로 위 개인정보 유출사고에 정보통신망 이용촉진 및 정보보호 등에 관한 법률이 적용된다고 할 수는 없으나, 甲 회사는 개인정보의 유출을 막기 위한 조치를 취할 주의의무를 다하지 아니한 잘못이 인정되므로 민법상 불법행위에 따른 손해배상책임을 부담한다고 한 사례
[4] 개인정보를 처리하는 자가 수집한 개인정보가 정보주체의 의사에 반하여 유출된 경우, 그로 인하여 정보주체에게 위자료로 배상할 만한 정신적 손해가 발생하였는지 판단하는 기준 및 불법행위로 입은 정신적 고통에 대한 위자료 액수의 산정이 사실심 법원의 재량 사항인지 여부(적극)"
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제2조, 제3조, 제28조",
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률 시행령,제15조,
6,장해등급결정처분취소(취소소송 제소기간의 기산점인 '처분 등이 있음을 안 날'과 '처분 등이 있은 날'의 의미가 문제된 사건),2019두38656,2019. 8. 9.,공무원연금법,제87조,"[1] 상대방 있는 행정처분은 상대방에게 고지되어야 효력이 발생하는지 여부(원칙적 적극) 및 상대방 있는 행정처분이 상대방에게 고지되지 않았으나 상대방이 다른 경로를 통해 행정처분의 내용을 알게 된 경우, 행정처분의 효력이 발생하는지 여부(소극)
[2] 취소소송의 제소기간 기산점으로 행정소송법 제20조 제1항이 정한 ‘처분 등이 있음을 안 날’과 같은 조 제2항이 정한 ‘처분 등이 있은 날’의 의미 및 이러한 법리가 행정심판의 청구기간에 관해서도 마찬가지로 적용되는지 여부(적극)
[3] 구 공무원연금법상 공무원연금급여 재심위원회에 대한 심사청구 제도의 법적 성격(=특별행정심판)"
,,,,행정소송법,제20조,
,,,,행정심판법,"제4조, 제27조",
7,정보통신망이용촉진및정보보호등에관한법률위반(음란물유포)(피고인이 자신이 운영하는 웹사이트(토렌트 사이트)에 음란물 영상의 토렌트 파일을 게시하여 불특정 다수인에게 다운로드 받도록 한 사건),2019도5283,2019. 7. 25.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제44조의7, 제74조",음란물 영상의 ‘토렌트 파일’의 의미 및 위 파일이 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제44조의7 제1항 제1호에서 정보통신망을 통한 유통을 금지한 ‘음란한 영상을 배포하거나 공공연하게 전시하는 내용의 정보’에 해당하는지 여부(적극) / 음란물 영상의 토렌트 파일을 웹사이트 등에 게시하여 불특정 또는 다수인에게 무상으로 다운로드 받게 하는 행위 또는 그 토렌트 파일을 이용하여 별다른 제한 없이 해당 음란물 영상에 바로 접할 수 있는 상태를 실제로 조성한 행위가 같은 법상 음란한 영상을 배포하거나 공공연하게 전시한다는 구성요건을 충족하는지 여부(적극)
8,손해배상(기),2018가단226347,2019. 6. 13.,국가배상법,제2조,"甲이 유튜브(youtube) 및 자신의 에스엔에스(SNS)에 ‘자신은 최근 유출된 출사 사진 사건의 피해자이고, 3년 전 乙 지하철역 3번 출구 근처의 한 스튜디오에서 진행된 촬영회는 자신을 기망하여 이루어진 성범죄 현장이었다’는 내용의 동영상과 글을 올리자, 乙 지하철역 3번 출구 근처에서 丙 스튜디오를 운영하는 丁이 丙 스튜디오 인터넷 카페에 丙 스튜디오는 위 사건과 무관하다는 내용의 해명글을 올렸고, 그 후 언론에 丙 스튜디오는 甲의 촬영회를 진행한 스튜디오가 아니라고 丁이 반박하였다는 내용의 기사가 보도되기 시작하였는데, 위 해명글 게시 직후 戊가 청와대 홈페이지 국민소통 광장 국민청원 게시판에 “丙 스튜디오 불법 누드촬영”이라는 제목으로 甲이 SNS에 올린 글 전문을 그대로 인용한 청원글을 게시하고, 위 반박 기사가 보도된 후 인스타그램 팔로워(instagram follower) 수가 870만 명에 이르는 유명 연예인인 己가 자신의 인스타그램 스토리에 위 청원글에 동의하였음을 알리는 인증사진을 게시한 다음 그 인증사진 게시 경위 등을 기재한 글을 올리고, 그 후 다시 庚이 청와대 홈페이지 국민소통 광장 토론방 게시판에 “丙 스튜디오 불법 누드촬영”이라는 제목으로 위 청원글 전문을 인용한 글을 게시하는 일이 발생하자, 丁이 戊, 己, 庚을 상대로는 명예훼손에 따른 손해배상을 청구하고, 국가를 상대로는 국민청원 게시판 관리자의 주의의무 위반을 이유로 국가배상을 청구한 사안에서, 戊, 己, 庚의 행위는 丁의 사회적 가치 내지 평가가 침해될 만한 구체적인 허위 사실을 적시한 명예훼손 행위로서 불법행위를 구성하고 그 불법행위들은 丁에 대한 권리침해 및 손해발생에 공통의 원인이 되었으므로 戊 등은 민법 제760조 제1항에 따라 공동불법행위책임을 진다고 판단한 다음, 국가배상청구에 대해서는 게시판 관리자가 청원글을 즉시 삭제하는 등 상당한 기간 내에 丁의 피해를 방지할 수 있는 조치를 취할 주의의무를 위반하였다고 인정하기 어렵다는 이유로 그 청구를 기각한 사례"
,,,,민법,"제751조, 제760조",
9,정보통신망이용촉진및정보보호등에관한법률위반(음란물유포)방조ㆍ청소년보호법위반ㆍ아동ㆍ청소년의성보호에관한법률위반(음란물제작ㆍ배포등)방조[예비적죄명:정보통신망이용촉진및정보보호등에관한법률위반(음란물유포)방조]ㆍ아동ㆍ청소년의성보호에관한법률위반(음란물제작ㆍ배포등)[예비적죄명:정보통신망이용촉진및정보보호등에관한법률위반(음란물유포)](표현물이 등장하는 아동ㆍ청소년이용음란물의 판단 기준),2015도863,2019. 5. 30.,아동ㆍ청소년의 성보호에 관한 법률,"제2조, 제11조",구 아동·청소년의 성보호에 관한 법률 제2조 제5호에서 말하는 ‘아동·청소년으로 인식될 수 있는 표현물’의 의미와 판단 기준
10,임차권양도에대한동의,2015다250413,2019. 4. 3.,공공주택 특별법,제49조의4,공공건설임대주택 임차권 양도의 동의를 받으려는 임차인은 임대사업자가 임차권 양수인의 주택소유 여부를 확인할 수 있도록 양수인을 특정할 수 있는 정보가 기재된 자료를 제출하여야 하는지 여부(적극) 및 이 경우 임대사업자는 임차인의 임차권 양도 요구를 받아들여야 할 의무가 있는지 여부(원칙적 적극)와 임대사업자가 임차인의 임차권 양도에 대한 동의 요구를 거절하기 위해 증명하여야 할 사항
,,,,공공주택 특별법 시행규칙,제25조,
,,,,공공주택 특별법 시행령,제48조,
,,,,주택공급에 관한 규칙,제52조,
11,정보통신망이용촉진및정보보호등에관한법률위반(음란물유포),2019노194,2019. 4. 3.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제44조의7, 제74조","피고인이 외국에 서버를 둔 인터넷 사이트를 운영하면서 그 게시판에 남녀 간의 성교행위 영상 등 다수의 음란물 영상에 관한 토렌트 파일을 게시하여 위 사이트를 방문하는 불특정 다수인이 이를 다운로드 받아갈 수 있도록 함으로써 정보통신망을 통하여 음란한 영상을 배포 또는 공공연하게 전시하였다고 하여 정보통신망 이용촉진 및 정보보호 등에 관한 법률 위반(음란물유포)으로 기소된 사안에서, 피고인에게 유죄를 인정한 사례"
12,권리범위확인(특),2018후10350,2019. 2. 14.,특허법,"제97조, 제135조","[1] 특허발명의 보호범위 확정 방법 및 청구범위에 적혀 있는 사항을 해석하는 방법
[2] 확인대상발명이 특허발명의 권리범위에 속하는지 판단하는 기준 / 확인대상발명에서 특허발명의 청구범위에 기재된 구성 중 변경된 부분이 있는 경우, 확인대상발명이 특허발명의 특허청구범위에 기재된 구성과 균등한 것으로서 특허발명의 권리범위에 속한다고 볼 수 있는 요건"
13,정보통신망이용촉진및정보보호등에관한법률위반(음란물유포),2016도8783,2019. 1. 10.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제44조의7, 제74조, 제75조","[1] 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제44조의7 제1항 제1호에서 규정한 ‘음란’의 의미와 요건 및 표현물의 음란 여부를 판단하는 기준과 방법
[2] 피고인 甲 주식회사의 대표이사 피고인 乙과 운영·관리자 피고인 丙, 丁이 공모하여, 甲 회사 사무실에서 대량문자메시지 발송사이트를 이용하여 불특정 다수의 휴대전화에 여성의 성기, 자위행위, 불특정 다수와의 성매매를 포함한 성행위 등을 저속하고 노골적으로 표현 또는 묘사하거나 이를 암시하는 문언이 기재된 문자메시지를 대량으로 전송함으로써 정보통신망을 통하여 음란한 문언을 배포하였다고 하여 정보통신망 이용촉진 및 정보보호 등에 관한 법률 위반(음란물 유포)으로 기소된 사안에서, 위 문자메시지가 ‘음란한 문언’에 해당한다고 한 사례"
,,,,형법,제30조,
14,손해배상,2017다256910,2018. 12. 28.,민법,"제390조, 제750조","[1] 정보통신서비스 제공자가 구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제28조 제1항 및 정보통신서비스 이용계약에 근거하여 개인정보의 안전성 확보에 필요한 보호조치를 취하여야 할 법률상 또는 계약상 의무를 위반하였는지 판단하는 기준
[2] 정보통신서비스 제공자가 ‘개인정보의 기술적·관리적 보호조치 기준’(방송통신위원회 고시 제2011-1호)에서 정하고 있는 기술적·관리적 보호조치를 다한 경우, 개인정보의 안전성 확보에 필요한 보호조치를 취하여야 할 법률상 또는 계약상 의무를 위반하였다고 볼 수 있는지 여부(원칙적 소극)
[3] 甲 주식회사와 정보통신서비스 이용계약을 체결한 乙 등의 개인정보가 해킹사고로 유출되자 乙 등이 甲 회사를 상대로 손해배상을 구한 사안에서, 甲 회사가 퇴직한 개인정보취급자의 개인정보처리시스템 접근권한을 말소하지 않았더라도 그것과 정보유출사고 발생 사이에 상당인과관계를 인정하기 어렵고, 甲 회사가 개인정보처리시스템의 접속기록을 확인·감독함으로써 ‘개인정보의 기술적·관리적 보호조치 기준’(방송통신위원회 고시 제2011-1호)을 준수하였다고 볼 수 있는데도, 甲 회사가 위 고시에서 정한 기술적·관리적 보호조치를 다하지 않아 정보유출사고가 발생하였다고 본 원심판단에 법리오해의 잘못이 있다고 한 사례"
15,손해배상(기),2017다207994,2018. 12. 28.,민법,"제390조, 제750조","[1] 정보통신서비스 제공자가 구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제28조 제1항 및 정보통신서비스 이용계약에 근거하여 개인정보의 안전성 확보에 필요한 보호조치를 취하여야 할 법률상 또는 계약상 의무를 위반하였는지 판단하는 기준
[2] 정보통신서비스 제공자가 ‘개인정보의 기술적·관리적 보호조치 기준’(방송통신위원회 고시 제2011-1호)에서 정하고 있는 기술적·관리적 보호조치를 다한 경우, 개인정보의 안전성 확보에 필요한 보호조치를 취하여야 할 법률상 또는 계약상 의무를 위반하였다고 볼 수 있는지 여부(원칙적 소극)
[3] 甲 주식회사와 정보통신서비스 이용계약을 체결한 乙 등의 개인정보가 해킹사고로 유출되자 乙 등이 甲 회사를 상대로 손해배상을 구한 사안에서, 제반 사정에 비추어 甲 회사가 ‘개인정보의 기술적·관리적 보호조치 기준’(방송통신위원회 고시 제2011-1호)에서 정한 기술적·관리적 보호조치를 취하지 않았다거나 정보통신서비스 제공자에게 요구되는 개인정보의 안전성 확보에 필요한 기술적·관리적 조치를 취하지 않아 정보유출사고가 발생하였다고 보기 어렵다고 한 원심판단을 수긍한 사례"
16,정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등),2017도15226,2018. 12. 27.,전기통신사업법,제2조,"[1] 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제49조 위반행위의 객체인 ‘정보통신망에 의해 처리·보관 또는 전송되는 타인의 비밀’의 범위 및 정보통신망으로 처리·전송이 완료된 다음 사용자의 개인용 컴퓨터(PC)에 저장·보관되어 있으나 정보통신체제 내에서 저장·보관 중인 것으로 볼 수 있는 비밀이 이에 포함되는지 여부(적극) / 위 규정에서 말하는 ‘타인의 비밀’의 의미
[2] 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제49조에서 말하는 타인의 비밀 ‘침해’ 및 ‘누설’의 의미 / 위 규정의 ‘타인의 비밀 침해 또는 누설’에서 요구되는 ‘정보통신망에 침입하는 등 부정한 수단 또는 방법’에 사용자가 식별부호를 입력하여 정보통신망에 접속된 상태에 있는 것을 기화로 정당한 접근권한 없는 사람이 사용자 몰래 정보통신망의 장치나 기능을 이용하는 등의 방법으로 타인의 비밀을 취득·누설하는 행위를 포함시키는 해석이 죄형법정주의에 위배되는지 여부(소극)
[3] 위법성조각사유로서 정당행위나 정당방위에 해당하는지 판단하는 방법 / 정당행위로 인정되기 위한 요건 / 정당방위가 성립하려면 방위행위가 사회적으로 상당한 것이어야 하는지 여부(적극)"
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제1조, 제2조, 제48조, 제49조, 제71조",
,,,,형법,"제1조, 제20조, 제21조",
17,국민체육진흥법위반(도박개장등)방조·도박공간개설방조,2018도9672,2018. 11. 29.,국민체육진흥법,"제26조, 제47조, 제48조, 제49조","해외 베팅사이트 운영자들과 계약을 체결한 후 링크를 통한 해외 베팅사이트에의 연결, 해외 베팅사이트에서 사용하는 데 필요한 게임머니 충전 및 게임머니의 한화로의 환전 등을 할 수 있는 중계사이트를 운영한 행위가 국민체육진흥법 제26조 제2항 제1호에서 규정하는 ‘정보통신망을 이용하여 체육진흥투표권 등을 발행하는 시스템을 공중이 이용할 수 있도록 제공하는 행위’에 해당하는지 여부(적극)"
18,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손)(예비적죄명:명예훼손)·출판물에의한명예훼손(예비적죄명:명예훼손),2016도14678,2018. 11. 29.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제70조,"〔1〕 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제70조 제2항에서 정한 ‘허위사실 적시에 의한 명예훼손죄’ 또는 형법 제309조 제2항에서 정한 ‘허위사실 적시 출판물에 의한 명예훼손죄’가 성립하기 위한 요건
〔2〕 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제70조 제2항, 형법 제309조 제2항에서 정한 ‘사람을 비방할 목적’의 의미와 판단 기준 및 ‘공공의 이익’을 위한 것과의 관계
〔3〕 명예훼손죄가 성립하기 위한 명예훼손적 표현인지 판단하는 기준 / 표현의 자유와 명예보호 사이의 한계를 정할 때 고려하여야 할 사항 / 정부 또는 국가기관이 형법상 명예훼손죄의 피해자가 될 수 있는지 여부(소극) / 정부 또는 국가기관의 업무수행과 관련된 사항에 관한 표현으로 업무수행에 관여한 공직자에 대한 사회적 평가가 저하되는 경우, 곧바로 공직자 개인에 대한 명예훼손죄가 성립하는지 여부(원칙적 소극)〔4〕 명예훼손죄가 성립하기 위하여 피해자가 특정되어야 하는지 여부(적극) / 집합적 명사를 사용한 명예훼손적 표현이 구성원 개개인에 대한 명예훼손죄를 구성하는지 판단하는 기준"
,,,,형법,"제307조, 제309조",
19,정보통신망이용촉진및정보보호등에관한법률위반·경범죄처벌법위반,2018도14610,2018. 11. 15.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제44조의7, 제74조","정보통신망 이용촉진 및 정보보호 등에 관한 법률 제74조 제1항 제3호, 제44조의7 제1항 제3호에서 처벌하는 ‘공포심이나 불안감을 유발하는 문언을 반복적으로 상대방에게 도달하게 하는 행위’에 해당하는지 판단하는 기준 및 ‘도달하게 한다’는 것의 의미 / 상대방의 휴대전화로 공포심이나 불안감을 유발하는 문자메시지를 전송함으로써 상대방이 별다른 제한 없이 문자메시지를 바로 접할 수 있는 상태에 이른 경우, 상대방이 실제로 문자메시지를 확인하였는지와 상관없이 ‘공포심이나 불안감을 유발하는 문언을 상대방에게 도달하게 한다’는 구성요건을 충족하는지 여부(적극)"
20,국민체육진흥법위반(도박개장등)·도박공간개설·국민체육진흥법위반(도박등)·상습도박·신용정보의이용및보호에관한법률위반교사·위증,2018도7172,2018. 10. 30.,국민체육진흥법,"제26조, 제47조, 제48조, 제49조","[1] 2012. 2. 17. 법률 제11309호로 개정된 국민체육진흥법 제26조가 제1항의 ‘유사행위’를 금지하는 외에, 제2항에 제1항 행위와 관련한 제1, 2, 3호 각 행위를 금지하는 조항을 신설한 취지 및 특히 그중에서도 제1호 행위를 금지하고 그 위반행위자를 처벌하도록 한 취지
[2] 정보통신망을 이용하여 체육진흥투표권 등을 발행하는 시스템에서 경기의 승부에 걸기 위하여 체육진흥투표권 등의 구매에 없어서는 안 되는 게임머니를 그 시스템 운영자를 통하여 미리 확보해 두었다가 이용자들에게서 돈을 받고 이를 충전시켜 주는 행위가 국민체육진흥법 제26조 제2항 제1호 행위 중 위 발행 시스템을 공중이 이용할 수 있도록 제공하는 행위에 해당하는지 여부(적극) 및 위 발행 시스템의 관리 권한을 가진 운영자만이 이를 공중의 이용에 제공할 수 있는지 여부(소극) / 위 제1호 행위 등을 해석할 때 고려하여야 할 사항
[3] 피고인들이 甲 등과 공모하여, 해외 베팅사이트의 운영업체와 중계계약을 체결하여 중계사이트를 개설한 후 불특정 다수의 내국인들을 회원으로 모집하고 회원들로 하여금 중계사이트를 통해 해외 베팅사이트에서 제공하는 각종 스포츠 경기의 승부에 베팅을 하게 하여 베팅이 적중할 경우 미리 정해진 비율에 따라 환전을 해주고, 적중하지 못하면 베팅금을 자신들이 취득하는 방법으로 중계사이트를 운영함으로써 국민체육진흥법을 위반하였다는 내용으로 기소된 사안에서, 피고인들의 행위가 같은 법 제26조 제2항 제1호에서 규정하는 ‘정보통신망을 이용하여 체육진흥투표권 등을 발행하는 시스템을 공중이 이용할 수 있도록 제공하는 행위’에 해당한다고 한 사례"
,,,,형법,"제1조, 제30조",
21,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·정보통신망이용촉진및정보보호등에관한법률위반,2017도3443,2018. 8. 30.,성폭력범죄의 처벌 등에 관한 특례법,제14조,"[1] 성폭력범죄의 처벌 등에 관한 특례법 제14조 제1항에서 규정한 ‘다른 사람의 신체를 촬영하는 행위’에 다른 사람의 신체 그 자체를 직접 촬영하는 행위만 해당하는지 여부(적극) 및 다른 사람의 신체 이미지가 담긴 영상을 촬영하는 행위도 이에 해당하는지 여부(소극)
[2] 성폭력범죄의 처벌 등에 관한 특례법 제14조 제2항에서 규정한 ‘촬영물’에 다른 사람의 신체 그 자체를 직접 촬영한 촬영물만 해당하는지 여부(적극) 및 다른 사람의 신체 이미지가 담긴 영상을 촬영한 촬영물도 이에 해당하는지 여부(소극)
[3] 피고인이 甲과 성관계하면서 합의하에 촬영한 동영상 파일 중 일부 장면 등을 찍은 사진 3장을 지인 명의의 휴대전화 문자메시지 기능을 이용하여 甲의 처 乙의 휴대전화로 발송함으로써, 촬영 당시 甲의 의사에 반하지 아니하였으나 사후에 그 의사에 반하여 ‘甲의 신체를 촬영한 촬영물’을 乙에게 제공하였다고 하여 성폭력범죄의 처벌 등에 관한 특례법 위반(카메라등이용촬영)으로 기소된 사안에서, 피고인이 성관계 동영상 파일을 컴퓨터로 재생한 후 모니터에 나타난 영상을 휴대전화 카메라로 촬영한 촬영물은 같은 법 제14조 제2항에서 규정한 촬영물에 해당하지 아니한다고 한 사례"
,,,,형사소송법,제325조,
22,정보통신망이용촉진및정보보호등에관한법률위반·경범죄처벌법위반,2018노664,2018. 8. 30.,,제325조,
23,아동·청소년의성보호에관한법률위반(알선영업행위등)·직업안정법위반·청소년보호법위반,2018노195,2018. 8. 10.,,제325조,
24,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)[일부인정된죄명:성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)미수]ㆍ폭행(수치심을 유발할 수 있는 피해자의 신체를 의사에 반하여 촬영한 후 피해자 본인에게 전송한 사건),2018도1481,2018. 8. 1.,성폭력범죄의 처벌 등에 관한 특례법,제14조,성폭력범죄의 처벌 등에 관한 특례법 제14조 제1항에서 촬영행위뿐만 아니라 촬영물을 반포·판매·임대·제공 또는 공공연하게 전시·상영하는 행위까지 처벌하는 취지 / 위 조항에서 ‘반포’와 별도로 열거된 ‘제공’의 의미 및 촬영의 대상이 된 피해자 본인이 위 조항에서 말하는 ‘제공’의 상대방에 포함되는지 여부(소극) / 피해자 본인에게 촬영물을 교부하는 행위가 위 조항의 ‘제공’에 해당하는지 여부(원칙적 소극)
25,시정조치등취소청구의소,2016두55117,2018. 7. 12.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제24조,"이동통신서비스업자인 甲 주식회사가 번호유지기간 내에 있는 선불폰 서비스 이용자들을 대상으로 개인정보를 이용하여 임의로 일정 금액을 충전하는 이른바 ‘부활충전’을 한 행위가 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제24조를 위반하였다는 이유로 방송통신위원회가 시정명령 및 과징금 부과처분 등을 한 사안에서, 여러 사정을 종합하면 甲 회사의 부활충전 행위는 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제24조에서 금지하는 ‘이용자로부터 동의받은 목적과 다른 목적으로 개인정보를 이용한 것’에 해당한다고 본 원심판단을 정당하다고 한 사례"
